text,sentiment
"I absolutely love this product! It exceeded all my expectations.",positive
"This is the worst purchase I've ever made. Complete waste of money.",negative
"The service was okay, nothing special but got the job done.",neutral
"Amazing customer support, they went above and beyond to help me.",positive
"Very disappointed with the quality, it broke after a week.",negative
"The product arrived on time and works as described.",neutral
"Fantastic experience! Would definitely recommend to friends.",positive
"Terrible customer service, they never responded to my emails.",negative
"It's an average product for the price, exactly what I expected.",neutral
"I'm extremely satisfied with my purchase, great value for money!",positive
"The product is defective and the company refuses to help.",negative
"Decent product, neither impressed nor disappointed.",neutral
"Best decision I ever made! This product changed my life.",positive
"Horrible experience from start to finish. Stay away!",negative
"The product functions well enough, but lacks some features.",neutral
"Incredible performance and design, worth every penny!",positive
"Completely useless and a total ripoff.",negative
"It's fine. Does what it says but nothing special.",neutral
"Outstanding quality and durability, exceeded expectations!",positive
"Regret buying this, it's poorly made and overpriced.",negative
